Series,SSI
N1221,1
N1222,1
N1225,1
N1226,1
N1227,1
N1229,1
N1231,1
N1236,1
N1270,1
N1273,1
N1274,1
N1276,1
N1277,1
N1278,1
N1279,1
N1280,1
N1281,1
N1291,1
N1293,1
N1311,1
N1313,1
N1314,1
N1319,1
N1323,1
N1340,1
N1343,1
N1344,1
N1345,1
N1346,1
N1347,1
N1348,1
N1349,1
N1351,1
N1352,1
N1354,1
N1355,1
N1356,1
N1357,1
N1358,1
N1360,1
N1363,1
N1365,1
N1366,1
N1368,1
N1369,1
N1370,1
N1371,1
N1375,1
N1381,1
N1384,1
N1387,1
N1389,1
N1390,1
N1391,1
N1392,1
N1393,1
N1394,1
N1395,1
N1399,1
N1400,1
N1401,1
N1484,1
N1498,1
N1506,1
N1508,1
N1564,1
N1565,1
N1567,1
N1572,1
N1573,1
N1593,1
N1594,1
N1595,1
N1596,1
N1647,1
N1652,1
N1671,1
N1682,1
N1685,1
N1686,1
N1690,1
N1692,1
N1694,1
N1696,1
N1699,1
N1709,1
N1710,1
N1711,1
N1712,1
N1713,1
N1715,1
N1716,1
N1717,1
N1718,1
N1721,1
N1727,1
N1730,1
N1732,1
N1733,1
N1740,1
N1741,1
N1749,1
N1754,1
N1763,1
N1765,1
N1767,1
N1775,1
N1782,1
N1784,1
N1788,1
N1790,1
N1792,1
N1793,1
N1794,1
N1797,1
N1798,1
N1800,1
N1802,1
N1804,1
N1805,1
N1808,1
N1818,1
N1824,1
N1837,1
N1841,1
N1850,1
N1852,1
N1854,1
N1857,1
N1859,1
N1860,1
N1861,1
N1866,1
N1868,1
N1876,1
N1877,1
N1878,1
N1889,1
N1890,1
N1891,1
N1892,1
N1893,1
N1894,1
N1895,1
N1896,1
N1897,1
N1898,1
N1899,1
N1900,1
N1901,1
N1902,1
N1903,1
N1905,1
N1906,1
N1907,1
N1908,1
N1909,1
N1910,1
N1911,1
N1912,1
N1913,1
N1914,1
N1915,1
N1916,1
N1917,1
N1918,1
N1919,1
N1920,1
N1921,1
N1922,1
N1923,1
N1924,1
N1925,1
N1926,1
N1928,1
N1929,1
N1931,1
N1932,1
N1933,1
N1936,1
N1937,1
N1938,1
N1939,1
N1940,1
N1946,1
N1948,1
N1950,1
N1951,1
N1952,1
N1953,1
N1955,1
N1956,1
N1957,1
N1958,1
N1959,1
N1960,1
N1961,1
N1962,1
N1963,1
N1964,1
N1965,1
N1966,1
N1967,1
N1968,1
N1969,1
N1970,1
N1971,1
N1972,1
N1973,1
N1978,1
N1980,1
N1982,1
N1983,1
N1984,1
N1987,1
N1988,1
N1991,1
N1993,1
N1994,1
N1995,1
N1996,1
N1997,1
N1998,1
N2000,1
N2001,1
N2002,1
N2006,1
N2007,1
N2012,1
N2013,1
N2014,1
N2015,1
N2016,1
N2017,1
N2018,1
N2019,1
N2020,1
N2021,1
N2022,1
N2023,1
N2024,1
N2025,1
N2027,1
N2029,1
N2032,1
N2033,1
N2034,1
N2035,1
N2037,1
N2038,1
N2040,1
N2041,1
N2042,1
N2043,1
N2044,1
N2045,1
N2046,1
N2047,1
N2048,1
N2049,1
N2050,1
N2051,1
N2052,1
N2053,1
N2054,1
N2055,1
N2056,1
N2058,1
N2059,1
N2062,1
N2063,1
N2065,1
N2066,1
N2067,1
N2068,1
N2069,1
N2070,1
N2071,1
N2072,1
N2073,1
N2075,1
N2076,1
N2078,1
N2079,1
N2080,1
N2082,1
N2083,1
N2084,1
N2085,1
N2086,1
N2087,1
N2088,1
N2089,1
N2090,1
N2091,1
N2092,1
N2095,1
N2096,1
N2100,1
N2101,1
N2102,1
N2107,1
N2108,1
N2109,1
N2111,1
N2114,1
N2115,1
N2116,1
N2119,1
N2120,1
N2121,1
N2123,1
N2124,1
N2125,1
N2128,1
N2131,1
N2133,1
N2134,1
N2135,1
N2136,1
N2141,1
N2142,1
N2143,1
N2146,1
N2147,1
N2148,1
N2149,1
N2150,1
N2151,1
N2152,1
N2153,1
N2154,1
N2155,1
N2156,1
N2157,1
N2158,1
N2159,1
N2160,1
N2161,1
N2162,1
N2163,1
N2164,1
N2165,1
N2167,1
N2168,1
N2169,1
N2170,1
N2171,1
N2172,1
N2174,1
N2176,1
N2177,1
N2179,1
N2180,1
N2183,1
N2184,1
N2186,1
N2187,1
N2188,1
N2192,1
N2195,1
N2196,1
N2197,1
N2198,1
N2199,1
N2200,1
N2201,1
N2202,1
N2203,1
N2204,1
N2205,1
N2206,1
N2207,1
N2208,1
N2209,1
N2212,1
N2213,1
N2214,1
N2215,1
N2217,1
N2219,1
N2220,1
N2223,1
N2228,1
N2229,1
N2230,1
N2231,1
N2232,1
N2233,1
N2234,1
N2242,1
N2245,1
N2257,1
N2278,1
N2282,1
N2283,1
N2284,1
N2291,1
N2292,1
N2299,1
N2313,1
N2320,1
N2321,1
N2326,1
N2327,1
N2328,1
N2329,1
N2330,1
N2331,1
N2332,1
N2333,1
N2334,1
N2335,1
N2336,1
N2337,1
N2338,1
N2339,1
N2340,1
N2341,1
N2342,1
N2343,1
N2345,1
N2350,1
N2355,1
N2359,1
N2360,1
N2375,1
N2376,1
N2377,1
N2381,1
N2382,1
N2393,1
N2403,1
N2411,1
N2412,1
N2413,1
N2437,1
N2449,1
N2451,1
N2452,1
N2453,1
N2454,1
N2455,1
N2456,1
N2457,1
N2460,1
N2463,1
N2464,1
N2465,1
N2466,1
N2468,1
N2469,1
N2470,1
N2471,1
N2472,1
N2473,1
N2475,1
N2476,1
N2477,1
N2478,1
N2481,1
N2483,1
N2484,1
N2489,1
N2490,1
N2491,1
N2495,1
N2496,1
N2497,1
N2498,1
N2499,1
N2500,1
N2501,1
N2502,1
N2503,1
N2504,1
N2505,1
N2507,1
N2508,1
N2509,1
N2510,1
N2511,1
N2512,1
N2513,1
N2522,1
N2523,1
N2524,1
N2525,1
N2526,1
N2527,1
N2528,1
N2529,1
N2531,1
N2532,1
N2533,1
N2534,1
N2535,1
N2537,1
N2538,1
N2539,1
N2540,1
N2541,1
N2542,1
N2543,1
N2544,1
N2545,1
N2546,1
N2548,1
N2550,1
N2551,1
N2552,1
N2554,1
N2555,1
N2556,1
N2557,1
N2558,1
N2559,1
N2560,1
N2561,1
N2562,1
N2564,1
N2565,1
N2568,1
N2569,1
N2570,1
N2571,1
N2572,1
N2573,1
N2574,1
N2575,1
N2577,1
N2578,1
N2579,1
N2580,1
N2581,1
N2582,1
N2583,1
N2587,1
N2590,1
N2591,1
N2595,1
N2598,1
N2604,1
N2605,1
N2608,1
N2610,1
N2614,1
N2620,1
N2621,1
N2628,1
N2636,1
N2638,1
N2649,1
N2652,1
N2653,1
N2661,1
N2662,1
N2664,1
N2667,1
N2669,1
N2670,1
N2671,1
N2675,1
N2679,1
N2689,1
N2692,1
N2693,1
N2699,1
N2700,1
N2701,1
N2702,1
N2707,1
N2711,1
N2715,1
N2717,1
N2723,1
N2724,1
N2725,1
N2726,1
N2727,1
N2728,1
N2729,1
N2730,1
N2731,1
N2732,1
N2733,1
N2734,1
N2736,1
N2737,1
N2738,1
N2739,1
N2740,1
N2741,1
N2742,1
N2743,1
N2745,1
N2747,1
N2752,1
N2753,1
N2754,1
N2755,1
N2756,1
N2769,1
N2770,1
N2771,1
N2772,1
N2776,1
N2777,1
N2784,1
N2785,1
N2786,1
N2787,1
N2788,1
N2789,1
N2790,1
N2791,1
N2792,1
N2793,1
N2794,1
N2795,1
N2796,1
N2797,1
N2798,1
N2799,1
N2800,1
N2823,1
